"id","date","title","word_count","summary","controlled_tags","source_tags","has_images","wordpress_url","file_path"
"2012-06-19-the-challenge-of-eating-healthy-on-the-road","2012-06-20","The Challenge of Eating Healthy On the Road","376","I travel for a living. I am on week 8 of a 9 week unbroken stretch of being on the road Mon-Fri. No doubt, it's a real challenge to eat well when you are eating at restaurants 3...","food-addiction; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/06/19/the-challenge-of-eating-healthy-on-the-road/","../src/content/blog/2012-06-19-the-challenge-of-eating-healthy-on-the-road.md"
"2012-07-02-10-less-of-lee","2012-07-02","10% Less of Lee","194","I'm down 31lbs...10% less than my starting 309. I now have less than 100lbs to go to no longer be over weight. I've lost 5″ around my waist and belly.","family-responsibility; health-identity; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/07/02/10-less-of-lee/","../src/content/blog/2012-07-02-10-less-of-lee.md"
"2012-07-06-don8217t-listen-to-me","2012-07-07","Don’t Listen To Me","635","I think it's funny that I've titled this ""Don't Listen To Me"" and some of y'all (actually, all of y'all) clicked on the link to wonder just what you shouldn't be listening too. Good for you, you've shown...","a1c-labs; original-less-of-lee-journey","","false","https://lessoflee.wordpress.com/2012/07/06/dont-listen-to-me/","../src/content/blog/2012-07-06-don8217t-listen-to-me.md"
"2012-07-09-3-month-review","2012-07-09","3 Month Review","687","It's been three mont hs since I started the Less of Lee journey to health. I started at 309lbs and am now 275, a loss of 34lbs and 5 inches from my waist. I'm writing this from the...","exercise; nsv; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/07/09/3-month-review/","../src/content/blog/2012-07-09-3-month-review.md"
"2012-07-30-taste-of-new-york-city","2012-07-31","Taste of New York City","465","I traveled for work to New York City…it was my first time in the Big Apple. So what’s a man who likes food to do when he goes to a city known for it’s food? Do I put...","capability-recovery; exercise; feasting; food-addiction; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/07/30/taste-of-new-york-city/","../src/content/blog/2012-07-30-taste-of-new-york-city.md"
"2012-08-15-the-battle-starts-in-the-mind","2012-08-15","The Battle Starts in the Mind","368","Just finished up my first four months on this journey. Starting at 309 on April 9, I’m down to 261 for 48lbs Less of Lee. Equally exciting there are 7” less around Lee’s belly and waist.","family-responsibility; health-identity; mindset; nsv; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/08/15/the-battle-starts-in-the-mind/","../src/content/blog/2012-08-15-the-battle-starts-in-the-mind.md"
"2012-08-22-one-pound-gain-8211-weight-loss-math","2012-08-22","One Pound Gain – Weight Loss Math","586","It was bound to happen, and it did this week...I gained weight instead of losing. One pound. I’m so close to the 50lb mark that I can taste it. I’m really hoping to achieve it before our company’s...","exercise; feasting; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/08/22/one-pound-gain-weight-loss-math/","../src/content/blog/2012-08-22-one-pound-gain-8211-weight-loss-math.md"
"2012-09-01-50lbs-less-of-lee","2012-09-01","50lbs Less of Lee","423","I hit a pretty big milestone this week. There are now 50lbs Less of Lee. 52, actually. As I write this I’m wearing a T-Shirt sized XL. When I started I was wearing XXL-Tall. My waist has gone...","capability-recovery; food-addiction; health-identity; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/09/01/50lbs-less-of-lee/","../src/content/blog/2012-09-01-50lbs-less-of-lee.md"
"2012-09-09-i8217m-halfway-there","2012-09-10","I’m Halfway There!","459","My goal is to no longer be overweight. According to the BMI tool on MyFitnessPal, I cross that line at 194.7 which is 57.1 lbs away. As of this Sunday I weigh 251.8 so there are 57.2lbs Less...","capability-recovery; health-identity; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/09/09/im-half-way-there/","../src/content/blog/2012-09-09-i8217m-halfway-there.md"
"2012-09-24-100lbs-less-of-lee-and-wife","2012-09-24","100lbs Less of Lee and Wife","390","My wife and I hit a nice milestone this week, together we have lost 100lbs, 60 for me and 40 for her. I'm so proud of the progress she has made, and she is looking fantastic. Her partnership...","a1c-labs; exercise; family-responsibility; fasting; feasting; food-addiction; humor-voice; original-less-of-lee-journey","","true","https://lessoflee.wordpress.com/2012/09/24/100lbs-less-of-lee-and-wife/","../src/content/blog/2012-09-24-100lbs-less-of-lee-and-wife.md"
